Ngày,Mã CK,Giá đóng cửa,Giá mở cửa,Giá cao nhất,Giá thấp nhất
2023-01-02,FPT,84900.0,84800.0,84900.0,84500.0
2023-01-03,FPT,84700.0,84200.0,84800.0,84100.0
2023-01-04,FPT,84500.0,84500.0,84600.0,84000.0
2023-01-05,FPT,85300.0,85300.0,85600.0,84900.0
2023-01-06,FPT,85700.0,86100.0,86100.0,85700.0
2023-01-09,FPT,86300.0,85800.0,86400.0,85600.0
2023-01-10,FPT,87400.0,87300.0,87600.0,87200.0
2023-01-11,FPT,88400.0,88000.0,88700.0,87300.0
2023-01-12,FPT,85200.0,85000.0,85600.0,84600.0
2023-01-13,FPT,86000.0,85600.0,86400.0,85200.0
2023-01-16,FPT,86000.0,85900.0,86000.0,85500.0
2023-01-17,FPT,86800.0,86900.0,87200.0,86600.0
2023-01-18,FPT,86000.0,85800.0,86200.0,85600.0
2023-01-19,FPT,85800.0,86600.0,87000.0,85300.0
2023-01-20,FPT,86700.0,87200.0,87400.0,86300.0
2023-01-23,FPT,88500.0,88500.0,89100.0,88300.0
2023-01-24,FPT,89700.0,89200.0,89700.0,89100.0
2023-01-25,FPT,89400.0,89700.0,90000.0,88400.0
2023-01-26,FPT,90200.0,90000.0,90500.0,89600.0
2023-01-27,FPT,91400.0,91200.0,91400.0,90900.0
2023-01-30,FPT,90500.0,90400.0,91300.0,89900.0
2023-01-31,FPT,89800.0,89900.0,90400.0,89800.0
2023-02-01,FPT,90200.0,90300.0,90800.0,89800.0
2023-02-02,FPT,90600.0,90200.0,91000.0,90000.0
2023-02-03,FPT,92200.0,92200.0,93100.0,92000.0
2023-02-06,FPT,94300.0,94300.0,94500.0,93800.0
2023-02-07,FPT,94100.0,94600.0,95000.0,93800.0
2023-02-08,FPT,91000.0,91300.0,91600.0,90700.0
2023-02-09,FPT,90200.0,90200.0,91000.0,89700.0
2023-02-10,FPT,89700.0,90200.0,90400.0,89500.0
2023-02-13,FPT,89900.0,89500.0,90000.0,89000.0
2023-02-14,FPT,91000.0,91000.0,92000.0,90900.0
2023-02-15,FPT,92800.0,92300.0,92900.0,92200.0
2023-02-16,FPT,95100.0,94500.0,95600.0,94200.0
2023-02-17,FPT,97200.0,97500.0,97500.0,96900.0
2023-02-20,FPT,95600.0,95700.0,95800.0,94600.0
2023-02-21,FPT,94800.0,94900.0,95600.0,94600.0
2023-02-22,FPT,95200.0,95500.0,96200.0,95200.0
2023-02-23,FPT,93700.0,93900.0,94100.0,93500.0
2023-02-24,FPT,92800.0,93200.0,93200.0,92500.0
2023-02-27,FPT,94500.0,94700.0,94800.0,93500.0
2023-02-28,FPT,94900.0,94800.0,95000.0,94100.0
2023-03-01,FPT,95100.0,95300.0,95900.0,94900.0
2023-03-02,FPT,92800.0,92900.0,93000.0,92500.0
2023-03-03,FPT,94000.0,94200.0,94700.0,93800.0
2023-03-06,FPT,93800.0,93200.0,94000.0,93200.0
2023-03-07,FPT,92800.0,93000.0,93200.0,92500.0
2023-03-08,FPT,93400.0,93800.0,94100.0,93200.0
2023-03-09,FPT,93400.0,94200.0,95100.0,93100.0
2023-03-10,FPT,93100.0,93100.0,94000.0,93100.0
2023-03-13,FPT,96000.0,95800.0,96200.0,95600.0
2023-03-14,FPT,95100.0,95100.0,95200.0,95000.0
2023-03-15,FPT,92400.0,93100.0,93200.0,91600.0
2023-03-16,FPT,91100.0,91200.0,92600.0,90700.0
2023-03-17,FPT,89200.0,89000.0,89400.0,88700.0
2023-03-20,FPT,90900.0,90800.0,91600.0,90600.0
2023-03-21,FPT,92500.0,92700.0,93600.0,92500.0
2023-03-22,FPT,94300.0,95100.0,95400.0,94200.0
2023-03-23,FPT,92700.0,92400.0,92700.0,92200.0
2023-03-24,FPT,93500.0,93300.0,94000.0,92900.0
2023-03-27,FPT,92000.0,92200.0,93300.0,91800.0
2023-03-28,FPT,92700.0,93300.0,93300.0,92200.0
2023-03-29,FPT,92200.0,91900.0,92500.0,91200.0
2023-03-30,FPT,93500.0,93700.0,95300.0,93500.0
2023-03-31,FPT,94300.0,94400.0,94500.0,93200.0
2023-04-03,FPT,96400.0,95900.0,96600.0,95700.0
2023-04-04,FPT,97500.0,97000.0,98600.0,96100.0
2023-04-05,FPT,97400.0,97400.0,97600.0,97000.0
2023-04-06,FPT,95800.0,95000.0,96000.0,94800.0
2023-04-07,FPT,97200.0,97500.0,97600.0,96500.0
2023-04-10,FPT,97000.0,96700.0,97300.0,96400.0
2023-04-11,FPT,94100.0,94200.0,94300.0,93900.0
2023-04-12,FPT,93200.0,93300.0,94100.0,93200.0
2023-04-13,FPT,92600.0,92400.0,92600.0,91800.0
2023-04-14,FPT,92500.0,92500.0,93400.0,92100.0
2023-04-17,FPT,93800.0,93500.0,94100.0,93000.0
2023-04-18,FPT,94300.0,94500.0,94900.0,93400.0
2023-04-19,FPT,95100.0,94400.0,95400.0,94200.0
2023-04-20,FPT,95100.0,95300.0,95500.0,94100.0
2023-04-21,FPT,93600.0,93900.0,94500.0,92700.0
2023-04-24,FPT,96000.0,95200.0,96400.0,94300.0
2023-04-25,FPT,98200.0,98300.0,98900.0,97200.0
2023-04-26,FPT,99100.0,98400.0,99200.0,98000.0
2023-04-27,FPT,99300.0,99100.0,100000.0,98400.0
2023-04-28,FPT,99800.0,100500.0,100900.0,99700.0
2023-05-01,FPT,100100.0,99800.0,100400.0,99800.0
2023-05-02,FPT,98800.0,99500.0,99900.0,98700.0
2023-05-03,FPT,98000.0,97700.0,98600.0,97600.0
2023-05-04,FPT,98700.0,98600.0,99000.0,98500.0
2023-05-05,FPT,99800.0,99700.0,100200.0,99400.0
2023-05-08,FPT,99600.0,99300.0,100100.0,98900.0
2023-05-09,FPT,98300.0,98600.0,98600.0,97500.0
2023-05-10,FPT,101500.0,101500.0,102300.0,101300.0
2023-05-11,FPT,101400.0,100800.0,101500.0,100700.0
2023-05-12,FPT,100800.0,100500.0,101200.0,99600.0
2023-05-15,FPT,100600.0,100300.0,100800.0,99800.0
2023-05-16,FPT,99700.0,99900.0,100300.0,99300.0
2023-05-17,FPT,101700.0,101500.0,102300.0,101100.0
2023-05-18,FPT,101200.0,101700.0,102100.0,101200.0
2023-05-19,FPT,99500.0,99700.0,100000.0,99000.0
2023-05-22,FPT,98700.0,98800.0,99800.0,98500.0
2023-05-23,FPT,98900.0,98700.0,99400.0,98400.0
2023-05-24,FPT,98100.0,97800.0,98400.0,97100.0
2023-05-25,FPT,97700.0,97500.0,97700.0,97400.0
2023-05-26,FPT,97800.0,98200.0,98300.0,97600.0
2023-05-29,FPT,96200.0,96500.0,96800.0,95500.0
2023-05-30,FPT,95200.0,95200.0,95200.0,95200.0
2023-05-31,FPT,95300.0,94600.0,95700.0,94300.0
2023-06-01,FPT,96800.0,97700.0,97900.0,96800.0
2023-06-02,FPT,96900.0,97700.0,98500.0,96700.0
2023-06-05,FPT,94900.0,93900.0,95900.0,93300.0
2023-06-06,FPT,96400.0,96100.0,96500.0,95500.0
2023-06-07,FPT,97200.0,96800.0,97800.0,96300.0
2023-06-08,FPT,96200.0,96200.0,96200.0,95500.0
2023-06-09,FPT,96400.0,95900.0,96700.0,95600.0
2023-06-12,FPT,97500.0,97600.0,97700.0,97100.0
2023-06-13,FPT,96800.0,96700.0,96900.0,96000.0
2023-06-14,FPT,96700.0,96600.0,97200.0,96300.0
